partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,0.0,0.0,10.339,17.135,22.758,20.629,25.957,24.478,26.844,27.514,29.754,30.303,31.605,33.483,37.066,38.17,36.915,33.866,33.689,34.649,33.854,35.328,34.701,31.48,30.028,32.577,36.048,33.512,30.969,27.091,28.132
UK,14.875,13.999,15.11,12.363,16.57,17.921,17.89,16.663,19.615,13.902,13.041,15.323,11.5,11.594,12.993,14.67,13.451,13.869,14.138,10.528,13.11,12.703,13.261,9.445,9.727,9.953,9.21,8.555,6.685,10.217,9.489
NO,6.603,8.706,13.768,18.365,19.72,21.276,21.882,21.927,22.22,20.783,18.708,20.969,22.283,22.281,21.804,17.289,18.52,16.646,16.006,13.754,8.847,7.395,9.349,10.953,15.183,12.455,11.189,10.303,10.044,9.702,8.033
LY,11.493,12.266,11.572,11.499,11.721,11.273,12.243,11.893,13.395,14.271,11.843,10.029,8.731,8.968,12.781,12.915,12.37,10.892,10.434,8.293,7.278,2.781,8.613,6.65,3.194,2.874,1.779,6.915,7.205,8.332,1.855
KZ,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.902,1.272,2.818,3.435,4.637,5.538,6.627,7.449,7.41,7.613,7.95,6.899,6.85,8.094,7.325,5.43,7.128,6.777,6.421,8.375,8.114,6.821,6.324,7.427
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.608,0.868,3.886,5.325,9.371
NG,6.127,6.793,8.942,7.689,6.911,4.624,3.967,5.031,2.127,1.161,1.983,3.013,2.824,2.883,0.914,2.124,3.118,2.051,3.026,3.662,3.943,5.431,6.652,7.306,7.119,6.691,3.81,4.916,5.468,5.241,5.174
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.001,0.881,1.263,1.006,1.39,0.921,1.853,2.834,3.407,4.181,3.744,3.07,2.146,3.692,4.132,5.316,5.131,2.451,3.063,2.922,2.163
IQ,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.977,0.845,0.22,0.021,0.043,0.03,0.0,0.0,0.06,0.153,0.18,0.277,0.379,0.759,0.839,0.799,0.919,2.392,3.146,4.675,3.031,2.696,2.233
EG,0.391,0.315,0.011,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.415,0.143,0.581,0.978,1.195,1.254,1.135,1.059,1.539,1.307,1.172,1.487,2.894,1.74,1.737,1.092,1.599,1.199
SA,5.993,7.769,8.928,8.165,7.082,6.158,5.597,5.928,5.294,4.505,4.568,4.016,3.612,3.88,4.219,4.137,3.561,2.305,2.664,1.418,0.702,1.07,2.381,2.433,1.414,1.195,0.812,1.021,1.425,1.595,2.194
DZ,3.493,4.597,6.237,7.902,6.841,5.207,4.929,3.786,5.519,4.188,6.501,3.958,4.231,3.727,2.869,4.572,2.337,2.485,3.076,1.762,1.013,2.761,2.33,2.608,3.624,3.468,3.266,1.958,0.688,1.171,1.55
Other,38.934,34.307,24.158,16.466,14.659,13.636,11.054,9.899,12.116,12.756,12.63,11.992,13.267,11.57,8.498,9.525,8.873,12.57,10.592,11.519,11.245,10.357,6.412,6.901,5.793,4.922,6.13,5.713,4.832,3.776,3.904
