partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,31.768,21.235,40.931,66.91,76.1,73.175,85.503,85.655,90.963,106.064,113.421,129.097,143.334,158.989,172.769,178.67989,177.834598,175.765575,170.009663,167.021586,170.906127,169.219277,163.17378200000002,157.202014,143.76466200000002,147.496509,161.275768,158.09955100000002,148.854812,133.59394,108.94067199999999
NO,32.701,39.617,48.968,56.731,67.755,75.066,83.201,83.766,86.106,81.232,82.68,79.171,72.295,72.036,67.129,59.438,55.673,51.196,52.976,48.597,39.443,35.711335999999996,34.301,38.546,43.545,42.726673999999996,40.203519,40.226011,36.724348,35.233141,38.029349
US,0.002,0.005,0.0,0.235,0.157,0.0,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.01,0.0,0.124,0.771,3.089,4.726576,11.955360999999998,26.026227,34.880162
NG,26.543,34.241,32.978,29.312,33.846,27.721,32.733,28.386,21.873,19.253,22.53,25.605,18.44,23.079,14.554,18.235619999999997,19.795582999999997,14.0244,20.332678,21.128068,19.646328,27.803243000000002,36.080225,34.491857,39.567967,39.230313,26.265943,30.083102999999998,35.806209,39.615037,33.912456
KZ,0.0,0.0,0.033,0.18,0.0,0.078,0.683,3.023,3.012,5.778,9.72,8.592,12.697,14.495,19.068,25.519964,24.650063000000003,24.68998,26.076718,26.650835,26.464788000000002,28.805412,25.069033,26.948135,28.827339,31.477498999999998,31.864285,37.328521,33.417517,33.400449,33.345491
SA,44.462,74.339,78.453,76.981,75.732,75.832,71.171,80.551,75.977,55.101,57.215,50.684,45.976,52.748,56.833,53.612763,46.172312,36.035104,36.284152,27.478072,28.214,38.474707,41.829716,39.741797999999996,40.419589,37.922045,36.878669,31.858387,35.978021999999996,37.255525999999996,32.795688
UK,32.351,33.795,34.787,29.097,38.514,42.747,50.375,52.715,51.216,49.793,45.765,49.328,43.625,38.676,34.43,28.824417,30.914,30.855,28.563,25.11,28.535,22.188102,22.172,19.905,20.177,20.288791,20.603309999999997,21.414753,19.71071,24.720007000000003,24.572582999999998
IQ,17.629,0.0,0.0,0.062,0.0,0.0,0.309,12.469,31.978,33.736,29.476,19.083,15.118,8.23,12.3,12.177,16.634171000000002,18.886413,18.74586,18.331488,15.17052,16.600646,18.138239000000002,11.969806,14.771761,30.116412,33.255283,33.743846,33.093727,34.013601,20.968456999999997
AZ,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,2.729,3.712,4.602,5.306,5.666,5.19,7.254723,12.580229,16.59507,18.071882,21.155932,22.840151,24.797658,20.014072,23.478814,21.602887,27.044175,23.525669,23.982488999999998,23.332176,22.230496,19.023647
LY,47.806,51.134,49.978,46.849,46.095,45.917,45.753,46.306,49.461,44.96,44.326,42.932,38.014,45.192,48.674,48.641218,48.226913,51.25980800000001,51.452656000000005,42.890027,47.37461999999999,12.778174,37.17740799999999,24.311895,14.664408,11.986219,10.534931,23.700726,29.420771000000002,30.185182,9.02445
DZ,14.714,16.052,15.254,13.785,14.559,12.006,13.375,12.763,13.679,12.379,16.088,13.828,13.13,15.135,17.658,18.561794999999996,12.524504,8.232891,12.755813,7.476864,5.308719,10.238867,11.773226000000001,13.007714,13.453098,15.553732,11.760615,9.827466000000001,9.197702999999999,11.710801,8.473922
MX,16.289,17.179,17.734,13.319,10.864,6.369,5.772,7.834,9.177,8.169,9.041,8.803,8.88,8.088,8.486,10.205,8.364,8.351,8.497,5.999,6.782,7.193,9.105,9.306,10.850419,12.980415,13.460718,11.515493000000001,10.828635,10.025349999999998,8.443
Sonstige,214.247,179.293,158.371,149.657,132.03,133.735,118.013,102.842,112.202,93.42,82.33,87.183,85.317,77.781,74.022,75.58498900000001,77.93934000000003,87.388212,86.62438999999989,75.39252600000002,74.98135299999994,76.60029099999997,56.26177100000001,51.18242499999999,57.606522,66.20195599999995,65.79720800000004,66.37977099999989,55.93300400000002,43.39838700000005,41.942887999999975
