partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,4.307139,2.382303,10.264031999999998,12.463701,11.656504,11.588102999999998,15.498967,13.923341,12.669189000000001,16.870386999999997,19.87815,23.133376000000002,26.474917,25.966586,27.070955,32.291804,34.603915,33.274669,32.87250100000001,38.952614000000004,40.745118999999995,40.843485,39.65706600000001,45.990237,55.89980800000001,57.078136,57.194720000000004,56.490725,54.758649,47.986385999999996,45.744793
US,7.777892,11.343797,9.594477000000001,7.445888,7.228528,8.207635,7.380081000000001,9.881571,8.801163,8.492828,10.205486,9.558973,10.76601,9.983092000000001,10.012767,10.57073,12.331197,12.045727,16.933122,17.600064,15.16443,20.097814,20.954620000000002,20.705147,21.300065000000004,22.582984,20.659941,18.493266,17.672729999999998,17.637309000000002,14.510731
UK,15.599667,19.002453000000003,18.731954,21.260172999999998,19.775373,20.317558000000002,18.766683,22.763436000000002,20.829522,21.595878,22.46761,22.156921999999998,22.383207000000002,21.158001,21.892601,21.923606,22.665431,25.504982,25.075215,25.761208,26.013087,25.906153,22.771084,22.023554,17.127368999999998,19.31496,17.414373,18.358763000000003,17.006518,15.767903,14.810221000000002
SA,4.045399,4.941878,2.891015,3.5254920000000003,3.010369,0.924759,0.734826,1.0200339999999999,1.490082,1.068256,1.084154,1.014934,0.857091,0.427966,1.39786,2.1114610000000003,3.109726,2.0546860000000002,2.78601,2.2666239999999998,1.67326,2.686451,1.878868,1.859902,3.315,7.17581,10.176679,11.020558,13.355739999999999,12.479143,9.725569
NO,6.527566,6.221064,6.370458999999999,6.781235,6.81978,5.619476,6.1358760000000006,6.946264,6.465507,4.818638,4.431084,4.495317,6.771817,7.093018,6.538015000000001,6.881583000000001,6.925796,6.991916,7.190519,7.521067,7.954237,7.941802,5.93425,6.49987,6.980395000000001,6.947875,6.339859000000001,6.531440000000001,8.074041999999999,7.891855,8.375727999999999
DZ,7.968491,10.054367000000001,12.348188,9.954561,8.983818999999999,10.143608,9.150591,8.836960999999999,7.67622,8.387298999999999,8.064733,9.075016,9.137521000000001,7.231941,5.670579,4.894777,5.544655,6.154888,5.395695,5.526511,6.562724,5.1381369999999995,5.859630999999999,5.486344,6.516661,5.782101,7.171634,7.301505,6.710896,6.63025,7.725778999999999
IN,0.19353,0.346084,0.23342400000000002,0.670194,0.351899,0.239928,0.517691,0.09296299999999999,0.007784,0.061,0.260789,0.6258980000000001,0.209668,0.780073,0.367,1.631,1.855723,1.902,2.856551,3.111,6.677,5.05,4.928,5.135,3.283905,3.759325,4.004137,3.591399,4.783703999999999,5.832104,2.869501
AE,0.23430700000000002,0.486551,0.07525,0.618491,0.054,0.062,0.054,0.0019370000000000001,0.061,0.292,0.5190629999999999,0.949,1.626845,1.462572,1.712486,2.103855,1.697,2.425,1.543,1.405,2.073,2.547835,2.456,1.513823,0.913423,2.529573,3.497625,3.206748,4.3178,5.3557879999999995,3.715659
EL,1.276,0.422257,0.424841,0.308769,0.757657,0.274,0.469,0.688327,0.503598,0.372163,0.819039,0.993,1.0264760000000002,0.8296140000000001,0.589982,0.905,1.293,1.419049,1.2640140000000002,1.491007,1.597799,1.373901,1.672865,2.60845,2.91383,3.267,3.247279,3.6047089999999997,3.376529,3.625781,3.385192
CH,0.421,0.728,0.509,0.666969,0.690944,0.376,0.501,0.57201,0.468892,0.728972,0.877264,0.620344,0.8949779999999999,0.8747860000000001,0.894988,0.692019,1.028048,0.730961,1.347211,0.498934,0.631499,0.6193350000000001,1.9364700000000001,2.5614120000000002,1.076133,0.863685,1.069123,1.900019,1.450586,2.881405,2.1868630000000002
TR,0.499605,0.128294,0.038694,0.159925,0.361845,0.533592,0.274938,0.35848199999999997,0.415244,0.893609,0.5027119999999999,0.8004880000000001,0.475845,0.396218,0.637746,0.759036,1.318942,0.809264,0.913288,0.223492,0.601861,0.8303590000000001,0.6155499999999999,0.760625,0.8422240000000001,1.398479,1.147562,0.842128,0.571193,2.517165,2.275301
SG,0.009876,0.069,0.0,0.010981,0.019844999999999998,0.014785,0.002,0.003906,0.02373,0.009722,0.080409,0.08959,1.023911,0.39071500000000003,0.5469700000000001,1.06774,1.7299039999999999,1.116,1.417,1.213,1.48485,1.276835,1.072,0.855823,0.989981,0.471548,1.697957,1.879683,1.989415,2.106593,1.7140250000000001
Other,70.36016299999999,57.324442999999995,45.19934700000001,42.44817599999999,38.863309,39.30783699999999,39.09545299999999,30.917751999999993,35.92762600000002,31.705879999999997,29.351574999999997,30.047947,31.055555000000023,31.298235000000002,31.779933000000003,33.97823600000002,33.839334,28.735617999999988,35.86018299999999,32.028794,30.074262,28.14612099999997,25.785511,26.649512999999992,22.877988000000013,20.828779000000008,21.20569,21.056544000000024,19.785967999999993,24.939935999999985,18.300858999999996
