partner,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
DE,24245.457,25920.358,25827.461,28468.067,29041.992000000002,25078.208,21303.285,22860.809,19886.683,21163.127,25879.302,22974.414,25117.111,27861.209,29810.453999999998,26699.506,26907.0,20011.0,14979.0,16567.0,15470.0,13676.0,12014.0,9507.0,9140.0,7684.0,6258.0,6322.0,5306.0,6664.0,5289.0
KZ,14038.789999999999,15780.395,15305.19,12051.179999999998,10103.615,11253.5,13224.595,10122.494999999999,10119.98,10878.705,9244.765,13917.15,9916.625,9161.035,7838.410000000001,7677.58,8650.0,4870.0,6165.0,2910.0,6940.0,4210.0,4295.0,980.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0
IQ,5595.915,3638.145,3528.5899999999997,5494.2,4136.415,3337.29,593.805,1809.03,351.19500000000005,4033.2299999999996,937.6,6122.4400000000005,7404.299999999999,4602.0650000000005,720.855,0.0,1000.0,850.0,5315.0,4585.0,7530.0,8965.0,7665.0,4165.0,0.0,0.0,0.0,310.0,0.0,0.0,10.0
IT,5157.989,5182.941,5094.353,3211.97,3294.637,2026.621,2213.0389999999998,2357.535,3111.594,3299.466,3798.4429999999998,4048.851,4806.386,4485.497,5472.15,4855.599,5126.0,6644.0,5416.0,4214.0,3120.0,3778.0,4729.0,3673.0,2971.0,2579.0,2192.0,1939.0,2494.0,2376.0,1980.0
SK,4213.918,4269.747,4283.844,4910.058,5072.428,6232.593,6310.937,7972.9800000000005,7482.894,8036.891,8417.464,7610.684,6946.168,6482.72,5305.759,5266.28,6101.0,4832.0,4944.0,4277.0,4149.0,4710.0,2637.0,1773.0,2135.0,1542.0,1925.0,1860.0,934.0,645.0,1351.0
RU,4023.795,1858.58,1422.565,2627.765,4803.92,3912.16,3252.9500000000003,5560.285,5903.055,6071.575,3473.495,1504.4,1531.1000000000001,1211.075,6909.755,11212.24,5910.0,7615.0,4945.0,5618.0,4824.0,3569.0,5955.0,5680.0,5815.0,8190.0,5220.0,1500.0,1900.0,2810.0,4235.0
DZ,3412.42,866.55,840.455,1587.62,2633.075,3873.73,2365.4900000000002,1488.57,1606.13,1114.335,383.59499999999997,789.32,5662.32,2209.455,1517.52,103.97500000000001,1255.0,1470.0,1300.0,2600.0,3695.0,4635.0,4440.0,7340.0,7145.0,3550.0,8315.0,6460.0,6931.0,9904.0,7567.0
HU,2621.168,2706.812,2670.367,2607.253,1640.97,946.119,3644.821,2341.82,3576.806,3380.036,3507.966,2867.861,4022.77,3931.176,3677.687,6183.996999999999,4887.0,4918.0,5559.0,4667.0,3799.0,4949.0,4655.0,3516.0,3928.0,5009.0,4019.0,4254.0,4103.0,4794.0,3478.0
SI,2565.214,2673.664,2683.393,3034.131,2907.617,2920.4629999999997,2484.362,2124.6730000000002,2022.617,1894.566,2316.859,2289.499,1429.993,1241.548,1014.916,552.645,240.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2199.325,73.21,113.495,97.44999999999999,71.81,32.66,90.945,0.005,0.0,1.3800000000000001,2.535,34.73,116.30000000000001,92.785,101.44999999999999,117.405,150.0,65.0,45.0,10.0,60.0,100.0,20.0,25.0,20.0,10.0,50.0,456.0,125.0,110.0,155.0
SA,2059.195,394.21999999999997,382.34499999999997,634.735,2648.345,3240.33,3877.945,3003.99,4218.58,4088.535,0.0,1415.3600000000001,2285.7599999999998,2855.5200000000004,4056.56,5643.815,7525.0,7850.0,4315.0,3205.0,2975.0,2575.0,4515.0,6070.0,5445.0,6180.0,8315.0,8045.0,5300.0,1245.0,915.0
AZ,1754.5500000000002,3803.48,3688.9449999999997,4991.25,2398.345,3870.875,3034.4349999999995,3494.0699999999997,1160.3600000000001,468.29,875.7550000000001,519.66,419.41,195.35,906.1450000000001,1673.615,705.0,820.0,1050.0,940.0,985.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,6757.616999999984,19852.057000000015,19471.61,11776.57699999999,12273.933000000005,13572.294999999998,15170.477000000006,16324.455000000002,18040.019,13527.623,22390.267000000014,15227.965000000004,15415.86999999998,20458.018999999993,20879.320000000007,17688.840999999986,17263.0,22533.0,22993.0,23363.0,13922.0,17828.0,24162.0,23519.0,30777.0,23860.0,22194.0,24435.0,27299.0,26295.0,28126.0
