partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NL,54520.0,52208.0,51867.0,52524.0,62071.0,71527.0,64209.0,59904.0,65699.0,72044.0,69434.0,69609.0,70863.0,80989.0,100418.0,108738.0,96507.0,92418.0,88601.0,86951.0,91234.0,95333.0,79443.0,91328.0,85555.0,91038.0,79388.0,77903.4,86889.0,77484.9,64504.5
RU,27640.0,20097.0,16871.0,19630.0,18186.0,17358.0,23374.0,19128.0,22667.0,34383.0,37210.0,38825.0,58523.0,66366.0,80415.0,82660.0,79862.0,91161.0,84213.0,72508.0,84404.0,80926.0,76195.0,85173.0,87361.0,78716.0,80711.0,108102.8,85643.3,71394.8,60564.9
SA,9020.0,23000.0,25644.0,25830.0,27930.0,47145.0,46350.0,52840.0,51665.0,28385.0,33970.0,29105.0,31685.0,30732.0,26880.0,26690.0,28685.0,23641.0,22020.0,22475.0,21185.0,28250.0,36222.0,27255.0,38641.0,45114.0,52762.0,44118.4,49522.1,46521.4,37943.6
UK,11617.0,10746.0,12204.0,7000.0,21445.0,13986.0,25974.0,34058.0,27284.0,38430.0,40297.0,40681.0,35690.0,29024.0,21677.0,18476.0,18595.0,17878.0,24922.0,18953.0,17851.0,15609.0,12372.0,12381.0,11824.0,12417.0,13622.0,22116.1,26866.899999999998,22034.2,20646.0
NO,24627.0,36826.0,39380.0,33981.0,41107.0,40987.0,53576.0,55275.0,48441.0,50619.0,49207.0,43595.0,35925.0,25947.0,17251.0,15990.0,16222.0,18562.0,24143.0,31113.0,29066.0,19339.0,17565.0,20399.0,19261.0,21289.0,20305.0,17420.4,18394.5,16419.6,18914.8
US,1034.0,1607.0,2750.0,1650.0,1885.0,1425.0,2125.0,1694.0,1727.0,2181.0,3715.0,5786.0,4629.0,3510.0,4797.0,2339.0,4249.0,914.0,2547.0,1187.0,1118.0,1579.0,4002.0,14800.0,4297.0,9621.0,10593.0,11086.3,15323.7,25974.600000000002,18690.1
NG,1928.0,2323.0,655.0,1363.0,3176.0,738.0,200.0,405.0,0.0,680.0,1445.0,1240.0,935.0,6325.0,2165.0,1655.0,2590.0,1645.0,4750.0,2180.0,2055.0,5730.0,23035.0,14656.0,21900.0,21224.0,10650.0,10241.5,19973.0,19435.5,12521.3
KZ,0.0,0.0,0.0,0.0,0.0,0.0,144.0,66.0,61.0,0.0,0.0,0.0,0.0,815.0,0.0,84.0,0.0,54.0,82.0,360.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6559.0,11887.5
DE,3424.0,3154.0,4130.0,3333.0,3821.0,3053.0,2003.0,1932.0,2732.0,1198.0,1772.0,3023.0,2061.0,1368.0,4094.0,4284.0,2315.0,2070.0,2706.0,1288.0,1455.0,1904.0,912.0,2330.0,2433.0,2815.0,3371.0,5233.4,4423.099999999999,5385.1,6444.0
IQ,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,2555.0,11440.0,6640.0,9070.0,5175.0,3435.0,4665.0,800.0,1200.0,660.0,2250.0,3355.0,3560.0,4940.0,4600.0,6080.0,1510.0,1855.0,2947.0,2185.0,4031.0,6708.5,10671.0,6103.5
FR,2147.0,2541.0,1790.0,2102.0,2069.0,2715.0,2531.0,3196.0,2796.0,4149.0,4570.0,6500.0,5028.0,5465.0,5221.0,9031.0,8593.0,7571.0,7118.0,4758.0,4635.0,5309.0,3891.0,6339.0,6334.0,7903.0,9292.0,7974.900000000001,8333.8,5659.4,4375.2
CA,95.0,933.0,55.0,50.0,5.0,20.0,0.0,0.0,0.0,0.0,154.0,84.0,0.0,0.0,0.0,5.0,5.0,0.0,593.0,0.0,0.0,0.0,259.0,0.0,349.0,718.0,140.0,194.5,889.0,3298.5,3176.0
Other,71651.0,77767.0,81058.0,80019.0,59203.0,33278.0,36744.0,28090.0,34668.0,28705.0,29316.0,33245.0,31752.0,44555.0,48389.0,48363.0,48945.0,46369.0,54339.0,46483.0,46850.5,35236.0,33935.0,37479.5,35944.0,29695.5,36131.0,34584.49999999988,29595.29999999999,28578.70000000001,20759.899999999907
