partner,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
RU,184235.0,179075.0,197986.0,218525.0,226360.0,198325.0,189617.0,183431.0,189698.0,188836.0,183819.0,185252.0,179434.0,178283.0,196777.0,199671.0,195595.0,176715.0,163290.0,158989.0,153967.0,145494.0,141607.0,130796.0,135214.0,111811.0,123369.0,100152.0,65485.0,0.0,0.0
NL,94533.0,117920.0,115254.0,117005.0,116584.0,111502.0,107311.0,115959.0,107123.0,109234.0,126937.0,118587.0,124346.0,98820.0,135559.0,127437.0,119955.0,121521.0,120928.0,150349.0,151180.0,145929.0,148995.0,150599.0,142089.0,132519.0,124938.0,132444.0,125539.0,129051.0,105920.0
UK,49607.0,54501.0,35482.0,46184.0,53740.0,65630.0,64152.0,63559.0,71734.0,69144.0,74935.0,59349.0,76945.0,80070.0,78951.0,83048.0,73026.0,62986.0,66623.0,89072.0,76231.0,77476.0,104676.0,97674.0,100931.0,98577.0,94971.0,78165.0,88320.0,90537.0,88767.0
US,49427.0,29942.0,23014.0,8489.0,5030.0,4312.0,3248.0,7855.0,6990.0,9141.0,5702.0,2318.0,4336.0,1555.0,4365.0,1229.0,570.0,1610.0,1732.0,1985.0,3598.0,3170.0,3140.0,4636.0,4404.0,4358.0,5381.0,5549.0,5769.0,5575.0,5822.0
NO,43392.0,50739.0,53640.0,53705.0,58280.0,66629.0,77177.0,56234.0,47856.0,39184.0,45247.0,69939.0,80961.0,84046.0,94007.0,88241.0,111207.0,116513.0,114309.0,108281.0,96349.0,106481.0,118170.0,119448.0,117436.0,113365.0,110448.0,102660.0,77680.0,50672.0,42122.0
KZ,37135.0,31620.0,34105.0,40570.0,41875.0,32475.0,33900.0,35725.0,27350.0,36950.0,40600.0,34260.0,34495.0,39750.0,38065.0,37050.0,37265.0,33135.0,27690.0,23185.0,17175.0,14090.0,6360.0,4510.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,32974.0,51071.0,45769.0,38042.0,29120.0,32840.0,35725.0,35321.0,32891.0,28773.0,27400.0,28945.0,33208.0,22844.0,28045.0,22115.0,23956.0,27388.0,32687.0,38407.0,34043.0,30747.0,31842.0,34438.0,28866.0,28442.0,20673.0,20973.0,25831.0,28185.0,23755.0
NG,26164.0,26205.0,27340.0,24580.0,19200.0,33455.0,35595.0,36530.0,33260.0,27155.0,19715.0,18460.0,15130.0,10255.0,15590.0,10620.0,4575.0,14415.0,14255.0,15185.0,9915.0,5805.0,10635.0,25155.0,19885.0,23120.0,34555.0,38445.0,44710.0,33965.0,30635.0
SA,11649.0,8379.0,7125.0,5105.0,4410.0,5982.0,7070.0,12200.0,11947.0,5469.0,3620.0,7129.0,13362.0,11560.0,17812.0,20685.0,21535.0,19445.0,19020.0,20325.0,23365.0,22900.0,26795.0,30005.0,28045.0,31255.0,37140.0,42925.0,45800.0,40110.0,31215.0
IQ,11165.0,13480.0,15155.0,23375.0,15730.0,12340.0,4609.0,3995.0,4202.0,3802.0,1916.0,1392.0,907.0,765.0,330.0,0.0,0.0,150.0,215.0,105.0,1100.0,4225.0,4885.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0
AZ,10815.0,14610.0,15315.0,12255.0,25655.0,26580.0,20660.0,18460.0,10730.0,15350.0,18720.0,20905.0,17035.0,14170.0,9265.0,4605.0,6950.0,5030.0,6315.0,4405.0,5005.0,5950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LY,9410.0,42515.0,36130.0,35005.0,9430.0,14370.0,15970.0,33330.0,43065.0,14335.0,37670.0,42485.0,53735.0,54485.0,62030.0,64970.0,64085.0,45110.0,44480.0,50405.0,59475.0,71795.0,67230.0,59694.0,62611.0,56705.0,59255.0,59424.0,61466.0,63881.0,59515.0
Other,67264.0,70074.0,67254.0,82962.0,89454.0,82737.0,77282.0,81032.0,74918.0,103332.0,95702.0,101154.0,103788.0,105608.0,92083.0,111678.0,96497.0,126491.0,132239.0,133776.0,141834.0,132793.0,137358.0,127075.0,141913.0,151242.0,154635.0,177198.0,217514.0,275792.0,288596.0
