partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NG,9129.0,10942.0,8906.0,6113.0,7050.0,8632.0,10845.0,9750.0,7889.0,8735.0,9165.0,8706.0,5376.0,6495.0,6315.0,7127.0,6038.0,5063.0,5067.0,5583.0,5754.0,6965.0,8450.0,7630.0,9973.0,10737.0,8110.0,9477.0,10264.0,11198.0,10840.0
MX,11632.0,12381.0,13363.0,10604.0,9498.0,5486.0,5185.0,6446.0,7005.0,6689.0,7630.0,7742.0,7833.0,7269.0,7717.0,9006.0,7581.0,7180.0,7710.0,5657.0,5928.0,6135.0,8676.0,8941.0,8559.0,8747.0,9234.0,9689.0,9381.0,9431.0,8443.0
SA,3441.0,7357.0,8352.0,9050.0,8420.0,8761.0,8987.0,9071.0,9647.0,6580.0,6737.0,6361.0,6884.0,7055.0,7051.0,6749.0,7673.0,6416.0,7592.0,6810.0,7528.0,8722.0,8734.0,8844.0,8390.0,8211.0,8202.0,8499.0,9043.0,8879.0,6531.0
US,1995.0,1776.0,1598.0,1614.0,906.0,1840.0,2078.0,3098.0,2808.0,2179.0,2671.0,3141.0,3281.0,2937.0,3437.0,2773.0,3033.0,3097.0,3255.0,3000.0,1987.0,3787.0,2623.0,2020.0,2056.0,3307.0,3967.0,2725.0,3183.0,4474.0,4978.0
KZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,637.0,573.0,392.0,1125.0,161.0,3013.0,2852.0,4417.0,4554.0,3912.0,4518.0
RU,237.0,366.0,3171.0,4807.0,5064.0,5994.0,4955.0,4160.0,5723.0,6631.0,6884.0,7062.0,9581.0,11969.0,11196.0,12168.0,15041.0,16668.0,11323.0,12151.0,10632.0,11370.0,9406.0,9208.0,9355.0,6203.0,6821.0,5118.0,2625.0,4113.0,4096.0
IQ,3121.0,0.0,17.0,0.0,0.0,0.0,119.0,3624.0,6398.0,6061.0,5995.0,2568.0,2352.0,1528.0,5150.0,2912.0,3292.0,3254.0,1834.0,2250.0,1905.0,3863.0,4933.0,2008.0,1867.0,3815.0,5191.0,4054.0,4678.0,5264.0,3505.0
BR,0.0,0.0,0.0,8.0,0.0,0.0,6.0,7.0,12.0,20.0,30.0,39.0,130.0,234.0,27.0,206.0,35.0,212.0,333.0,264.0,670.0,753.0,589.0,878.0,1161.0,1907.0,2898.0,4195.0,4712.0,2361.0,3082.0
IT,1412.0,1552.0,1096.0,1158.0,1280.0,1637.0,1835.0,2954.0,3982.0,3482.0,3888.0,4685.0,4378.0,5202.0,4540.0,4641.0,3679.0,5710.0,4197.0,3574.0,4988.0,3348.0,2689.0,1429.0,1177.0,1767.0,3883.0,4847.0,3978.0,3114.0,2994.0
DZ,2212.0,2655.0,2829.0,2253.0,3065.0,3942.0,4342.0,3515.0,4160.0,4763.0,5161.0,5238.0,4455.0,3806.0,4191.0,3950.0,3779.0,2872.0,3691.0,3022.0,2535.0,1970.0,2416.0,4301.0,3547.0,4214.0,3000.0,2468.0,2076.0,2525.0,2386.0
LY,6091.0,6255.0,7353.0,5835.0,6567.0,7622.0,6018.0,6047.0,7372.0,7371.0,7714.0,7849.0,7114.0,8596.0,7744.0,6791.0,6192.0,5720.0,6301.0,5347.0,7095.0,1262.0,5127.0,3121.0,1539.0,1779.0,2959.0,5932.0,7428.0,8734.0,1967.0
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,138.0,363.0,135.0,30.0,0.0,0.0,0.0,485.0,1106.0,1066.0,750.0,175.0,81.0,174.0,1235.0,1139.0,1630.0,940.0,1272.0,1393.0,1771.0
Other,21710.0,19774.0,18009.0,20942.0,23523.0,23325.0,21678.0,21644.0,21259.0,23306.0,22326.0,25273.0,28820.0,26865.0,27525.0,31453.0,32682.0,32962.0,34792.0,33384.0,30136.0,30429.0,24737.0,28217.0,30473.0,28843.0,26724.0,26801.0,25263.0,22111.0,18637.0
