partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RU,38513.051,25703.883,54043.739,85240.687,94308.504,89274.102,105254.52100000001,104994.10399999999,106671.75,127522.387,138168.913,157861.536,176258.327,191275.83299999998,204616.91,217249.861,218757.142,216872.738,210014.567,211378.808,219284.312,217245.861,210204.688,214115.17,209197.117,214243.645,227091.763,221812.975,210210.219,188623.593,162321.24599999998
US,7900.892,11436.797,9767.477,7804.888,7420.528,8262.635,7419.081,9930.571,9137.595,8500.828,10242.486,10286.973,11298.01,10337.092,10822.767,10595.594,12525.197,12086.726999999999,17041.122,17613.064,15198.936,20279.814,20964.620000000003,20784.147,21443.065000000002,24417.184,25075.487,25073.227,31302.249,44722.111,51568.018000000004
NO,39349.86,45881.064,55438.459,63596.327,75166.133,81690.629,90440.965,91937.591,93192.238,87888.81,88651.284,85017.495,80616.907,81267.254,75661.761,67272.885,64471.879,58899.111,60931.818,56866.533,48600.55,44863.529,41354.494,45713.65,50897.801,49955.385,47076.334,48506.024,46714.770000000004,44078.572,47662.254
SA,50932.399,81219.878,83469.015,82225.492,81296.369,78597.759,73196.826,82189.034,78092.082,56212.256,58315.154,51811.934,46841.091,53177.966,58233.86,55724.224,49371.038,38305.79,39171.162,29945.696,30113.260000000002,41295.158,43892.584,41701.7,43756.589,45127.855,47056.348,42927.844,49403.853,49759.94,42530.957
UK,48320.99,53005.715,54141.119,50520.629,58613.246,63284.11,69770.0,76011.555,72417.927,71859.038,68696.507,71894.27100000001,66551.657,60547.648,56960.548,51517.392,54659.289,57063.862,54265.474,51324.917,54865.068,48495.157999999996,45721.862,42306.554000000004,37800.984,39685.137,38192.301999999996,40038.411,37092.321,40971.754,39871.007
NG,26726.988,34403.0,33085.0,29502.0,33931.0,28176.882,32966.32,28634.0,22307.0,19778.082,22557.726,25870.504,18813.0,23241.0,14970.036,18650.62,20133.583,15218.654,20834.411,21604.741,20690.782,28701.52,36780.103,35191.396,39888.263,39648.732,26721.529,30585.739999999998,36680.623,40121.428,34601.716
KZ,0.0,0.0,41.0,297.0,142.0,110.0,755.0,3124.0,3037.0,5931.0,10052.0,9328.0,13725.779,16645.606,20727.593,27612.031,27002.662,26848.616,29019.559,29666.156000000003,29347.02,30767.229,27147.256,29406.817,31310.679,33337.694,33418.171,38557.889,34376.727,33654.627,33614.816999999995
IQ,18320.0,0.0,17.0,62.0,0.0,0.0,309.0,12469.0,31989.0,33736.0,29503.0,19083.0,15150.0,8230.0,12774.0,12177.0,16639.171000000002,18886.413,18894.86,18425.488,15176.52,16633.315,18141.239,12252.877,14981.415,30319.412,33330.282999999996,33772.678,33173.192,34226.918,20968.457
AZ,0.0,0.0,5.0,70.0,0.0,41.0,0.0,40.0,44.0,2991.0,3863.0,4835.0,5416.0,5777.0,5242.0,7316.723,12930.229,16756.745,18245.881999999998,21294.932,23021.150999999998,25077.658,20016.072,23547.716,21953.622,27369.175,23997.669,24107.389,23371.043999999998,22304.545,19040.402000000002
DZ,27388.245,29520.121,31010.624,27527.08,26710.064,26420.729,26787.274,25270.046000000002,25381.03,25142.524,29028.171000000002,28162.715,26326.81,25201.31,26041.436,26452.29,20619.966,17406.237999999998,20938.433,15964.528,13621.089,17302.312,19460.779000000002,21360.304,22329.543,23652.698,20952.337,19061.953,17407.787,19208.53,17022.568
LY,53450.236,56585.159,56654.255,51414.865,51434.027,51341.904,51573.944,52850.276,55400.377,52790.215,50658.414,48775.413,43485.626,50411.059,53628.856,53864.366,54109.471,57120.742,56349.015999999996,47743.603,51787.563,14457.283000000001,40044.005,26705.241,15985.962,12820.08,12133.724,25358.438,31435.716,31718.290999999997,9650.053
MX,16364.0,17441.0,17880.316,13348.981,10924.562,6479.928,5835.0,7927.469,9378.0,8229.972,9050.0,8935.893,8962.0,8094.0,8514.988,10388.115,8606.905,8372.0,8693.0,6037.0,6806.0,7238.0,9197.603,9424.666,11071.461,13135.488000000001,13700.957,11629.911999999998,10903.599,10230.189999999999,8539.425
Other,296855.2280000001,249255.69200000004,210522.47299999994,197797.07400000002,176207.52999999997,177160.05799999996,161659.266,137066.46400000004,149357.767,125165.29400000005,114546.30700000003,122267.26699999993,121738.53100000008,112604.47599999991,109725.33299999998,115825.89699999988,122013.11399999994,125371.72999999998,131607.26899999985,116379.65699999989,117457.12100000004,118744.53500000015,95589.41500000004,90880.4549999999,91669.42200000008,99006.98900000006,100971.74699999997,101811.06999999995,91105.2969999999,89757.902,77079.64000000013
