partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6245.0,2140.0,0.0,1700.0,2110.0,4575.0,3680.0,3155.0,3496.0,4314.5,8316.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,261.0,658.0,1736.0,1204.0,1143.0,703.0,1883.0,4212.0,5091.0,2778.0,3636.0,4744.0,3330.0,3459.0,4788.0,4386.0,3477.0,6247.6,5173.200000000001,8558.105,4189.65
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,507.0,561.0,237.0,200.0,132.0,319.0,577.0,591.0,1073.0,1101.0,2096.0,2022.0,1510.0,1489.0,2830.0,3480.0,3951.0,4067.1639999999998,3551.358,4037.725,3460.07
RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16755.0,9785.0,8217.0,14808.0,8155.0,15667.0,17180.0,19000.0,20555.0,17270.0,17755.0,11445.0,10605.0,8445.0,9855.0,5300.0,4645.0,2835.0,3108.0,3664.9,1995.325,2014.1
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2193.0,1626.0,3514.0,920.0,3858.0,5500.0,1898.0,1804.0,1423.0,1366.0,1591.0,952.0,2584.0,1054.0,1059.0,1001.0,1302.0,1656.0,1241.4,1073.5,1614.1,1525.3
EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,177.0,0.0,42.0,227.0,0.0,786.0,217.0,98.0,241.0,48.0,119.0,0.0,413.0,264.0,253.4,379.59999999999997,19.22,1482.6000000000001
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,14.0,7.0,7.0,260.0,175.0,1303.0,2005.0,754.0,1020.0,128.0,343.0,222.0,70.0,0.0,0.0,5.0,0.0,130.1,447.32000000000005,624.195,800.3
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,145.0,35.0,5.0,510.0,815.0,585.0,530.0,365.0,15.0,257.0,10.0,75.0,15.0,166.0,627.9,402.0,686.0
TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.5
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,10.0,10.0,15.0,354.0,30.0,401.0,0.0,20.0,50.0,60.0,31.0,204.0,795.0,439.0,802.8,417.5,452.8,391.9
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,11.0,10.0,21.0,20.0,25.0,30.0,84.0,30.0,149.0,25.0,266.0,37.0,60.0,200.0,40.0,45.5,38.5,50.2,391.2
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,108.0,156.0,142.0,171.0,186.0,24.0,0.0,15.0,0.0,15.0,15.0,25.0,343.0,309.0,314.0,345.3,385.90000000000003,317.9,341.4
Other,27939.0,14515.0,15286.0,19623.0,20534.0,22441.0,19463.0,20966.0,22583.0,4870.0,8880.0,9505.0,8779.0,12243.0,5926.0,7359.0,2973.0,3340.0,2394.0,1348.0,1044.0,1932.0,7052.0,3982.0,5311.0,4979.0,9037.0,9542.3,9729.168999999998,6016.505000000001,1325.599999999995
